,Rank,Name,Symbol,marketcap,price (USD),country
299,300,MercadoLibre,MELI,56756162560,1125.69,Argentina
33,34,BHP Group,BHP,272341352448,75.9,Australia
512,513,Verbund AG,OEWA.F,35406980276,100.77,Austria
1350,1351,Everest Re,RE,11662183424,296.96,BM
4336,4337,OneSpaWorld,OSW,943701120,10.25,Bahamas
114,115,Anheuser-Busch Inbev,BUD,118686162944,58.49,Belgium
752,753,Brookfield Renewable Partners,BEP,24976924672,39.0,Bermuda
135,136,Petrobras,PBR,101420990464,15.55,Brazil
77,78,Royal Bank Of Canada,RY,154213253120,108.86,Canada
2774,2775,Fabrinet,FN,3569676544,96.49,Cayman Islands
798,799,Sociedad Química y Minera,SQM,23293782016,81.55,Chile
13,14,Tencent,TCEHY,455337050112,46.97,China
472,473,Ecopetrol,EC,38690721792,18.82,Colombia
3807,3808,Establishment Labs,ESTA,1544958592,64.04,Costa Rica
3033,3034,Polymetal,PM6.F,2936903654,6.2,Cyprus
804,805,ČEZ Group,CEZ.F,23188836043,43.2,Czech Republic
32,33,Novo Nordisk,NVO,275007635456,120.95,Denmark
2146,2147,Commercial International Bank,CIN1.F,5796832909,2.16,Egypt
4983,4984,Tallink Grupp,T5N.F,437373068,0.64,Estonia
454,455,Nordea Bank,NDA-FI.HE,39970465417,10.41,Finland
23,24,LVMH,LVMUY,339129565184,134.02,France
105,106,SAP,SAP,127110103040,107.56,Germany
1647,1648,OTE Group,OTE.F,8800380699,19.6,Greece
3492,3493,Burford Capital,BUR,2024021888,9.24,Guernsey
100,101,AIA,AAIGF,129778147328,10.67,Hong Kong
1634,1635,OTP Bank,OTP.F,8896760283,31.9,Hungary
2543,2544,Marel,MAREL.AS,4326062623,5.72,Iceland
41,42,Reliance Industries,RELIANCE.NS,232900160733,34.42,India
241,242,Bank Central Asia,BBCA.JK,66293032309,0.54,Indonesia
54,55,Accenture,ACN,207459385344,327.27,Ireland
1324,1325,Entain,ENT.L,11904876685,2023.72,Isle of Man
969,970,Check Point Software,CHKP,18643511296,140.39,Israel
227,228,Enel,ENLAY,69098692608,6.76,Italy
40,41,Toyota,TM,233957310464,169.64,Japan
1671,1672,Novocure,NVCR,8587418112,82.24,Jersey
2914,2915,Freedom Holding,FRHC,3249404160,54.58,Kazakhstan
4036,4037,Telia Lietuva,ZWS.F,1293428090,2.19,Lithuania
670,671,ArcelorMittal,MT,28426272768,31.14,Luxembourg
2743,2744,Wynn Macau,1128.HK,3677037926,0.66,Macau
600,601,Maybank,MLYBY,31359293440,5.28,Malaysia
3445,3446,Kindred Group,KIND-SDB.ST,2097423006,9.5,Malta
218,219,America Movil,AMX,70601056256,21.83,Mexico
3599,3600,Costamare,CMRE,1850231424,14.89,Monaco
36,37,ASML,ASML,243628670976,597.74,Netherlands
1359,1360,Xero,XROLF,11500329984,76.25,New Zealand
3665,3666,Guaranty Trust Bank,9JO.F,1742315200,2.96,Nigeria
110,111,Equinor,EQNR,120465031168,37.4,Norway
2917,2918,Copa Holdings,CPA,3243533056,77.35,Panama
3177,3178,Buenaventura Mining Company,BVN,2654164224,10.45,Peru
1818,1819,PLDT,PHI,7615973888,35.25,Philippines
1368,1369,PKO Bank Polski,P9O.F,11429426871,9.14,Poland
928,929,EDP Group,EDP.F,19609812846,4.95,Portugal
2841,2842,Romgaz,RZ8G.F,3443062096,8.65,Romania
212,213,Gazprom,OGZPY,71485259776,1.1,Russia
1,2,Saudi Aramco,2222.SR,2276001177054,11.39,Saudi Arabia
249,250,Sea (Garena),SE,63543087104,113.93,Singapore
682,683,FirstRand,FSRA.F,27861307146,4.96,South Africa
17,18,Samsung,005930.KS,373732662135,55.02,South Korea
199,200,Iberdrola,IBDSF,73402597376,11.64,Spain
221,222,Investor AB,IVS.F,69876667912,23.51,Sweden
18,19,Roche,RHHBY,368653467648,53.25,Switzerland
9,10,TSMC,TSM,505978519552,97.57,Taiwan
581,582,PTT PCL,PTT-R.BK,32043183569,1.12,Thailand
1619,1620,QNB Finansbank,QNBFB.IS,9049113425,2.7,Turkey
4486,4487,Nano Dimension,NNDM,810850944,3.15,USA
4490,4491,Brooge Energy,BROG,804375936,7.34,United Arab Emirates
46,47,Astrazeneca,AZN,218876002304,70.63,United Kingdom
0,1,Apple,AAPL,2704940466176,165.75,United States
1732,1733,dLocal,DLO,8166374912,27.68,Uruguay
